Fecha Local / Lugar,Fecha UTC,Latitud / Longitud,Profundidad,Magnitud (2)
2024-01-17 20:28:57 46 km al N de Calama,2024-01-17 23:28:57,-22.078  -68.773,105 km,2.5 Ml
2024-01-17 19:22:13 85 km al NO de Quillagua,2024-01-17 22:22:13,-21.131  -70.134,68 km,2.6 Ml
2024-01-17 18:21:10 39 km al O de Mina Collahuasi,2024-01-17 21:21:10,-20.768  -69.031,101 km,3.5 Ml
2024-01-17 15:09:48 71 km al O de Iquique,2024-01-17 18:09:48,-20.145  -70.827,30 km,2.8 Ml
2024-01-17 14:46:40 73 km al O de Iquique,2024-01-17 17:46:40,-20.132  -70.844,6 km,2.9 Ml
2024-01-17 14:42:39 59 km al N de Pica,2024-01-17 17:42:39,-19.976  -69.203,96 km,3.2 Ml
2024-01-17 14:13:13 41 km al SO de Huasco,2024-01-17 17:13:13,-28.808  -71.377,37 km,3.1 Ml
2024-01-17 12:31:36 61 km al SO de Mina La Escondida.,2024-01-17 15:31:36,-24.630  -69.516,73 km,3.5 Ml
2024-01-17 10:45:18 61 km al N de Calama,2024-01-17 13:45:18,-21.926  -68.905,111 km,2.6 Ml
2024-01-17 10:23:04 45 km al SE de Calama,2024-01-17 13:23:04,-22.832  -68.741,107 km,2.5 Ml
2024-01-17 06:46:33 57 km al S de Mina La Escondida.,2024-01-17 09:46:33,-24.776  -69.158,109 km,2.8 Ml
2024-01-17 03:23:25 49 km al NO de Toltén,2024-01-17 06:23:25,-38.952  -73.647,35 km,2.8 Ml
2024-01-17 02:51:34 28 km al S de Chillán,2024-01-17 05:51:34,-36.852  -72.049,68 km,3.0 Ml
2024-01-17 01:25:26 110 km al NE de San Pedro de Atacama,2024-01-17 04:25:26,-22.120  -67.576,223 km,2.5 Ml
2024-01-16 23:40:46 66 km al S de Ollagüe,2024-01-17 02:40:46,-21.781  -68.462,131 km,2.7 Ml
2024-01-16 22:20:02 69 km al E de Socaire,2024-01-17 01:20:02,-23.777  -67.241,265 km,3.0 Ml
